chapter,title,text
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,FASTENERS,"6.
Rivet Lengths
A.
Proper length of rivets is an important part of a repair. Should too long a rivet be used, the formed
head will be too large, or the rivet may bend or be forced between the sheets being riveted. Should
too short a rivet be used, the formed head will be too small or the riveted material will be damaged.
If proper length rivets are not available, longer rivets may be cut off to equal the proper length (not
grip). Rivet length is based on the grip."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,FASTENERS,"7.
Solid Shank Rivets
A.
Removal of Solid Shank Rivets (Refer to Figure 1).
(1)
When it becomes necessary to replace a rivet, extreme care should be taken in its removal so
that the rivet hole will retain its original size and replacement with a larger size rivet will not be
necessary. If the rivet is not removed properly, the strength of the joint may be weakened and
the replacement of rivets made more difcult.
(2)
When removing a rivet, work on the manufactured head. It is more symmetrical about the shank
than the shop head, and there will be less chance of damaging the rivet hole or the material
around it. To remove rivets, use hand tools, a power drill or a combination of both. The preferred
method is to drill through the rivet head and drive out the remainder of the rivet with a drift punch.
First, le a at area on the head of any round or brazier head rivet, and center punch the at
surface for drilling. On thin metal, back up the rivet on the shop head when center punching
to avoid depressing the metal. The dimple in 2117-T3 rivets usually eliminates the necessity of
ling and center punching the rivet.
(3)
Select a drill one size smaller than the rivet shank and drill out the rivet head. When using a
power drill, set the drill on the rivet and rotate the chuck several revolutions by hand before
turning on the power. This procedure helps the drill cut a good starting spot and eliminates the
chance of the drill slipping off and tracking across the metal. While holding the drill at a 90°
angle, drill the rivet to the depth of its head. Be careful not to drill too deep because the rivet
shank will turn with the drill and cause a tear. The rivet head will often break away and climb the
drill, which is a good signal to withdraw the drill. If the rivet head does not come lose of its own
accord, insert a drift punch into the hole and twist slightly to either side until the head comes off.
(4)
Drive out the shank of the rivet with a drift punch slightly smaller than the diameter of the shank.
On thin metal or unsupported structures, support the sheet with a bucking bar while driving out
the shank. If the shank is exceptionally tight after the rivet head is removed, drill the rivet about
two-thirds of the way through the thickness of the material and then drive out the remainder of
the rivet with a drift punch.
(5)
The removal of ush rivets is the same as that just described except that no ling of the
manufactured head is required before center punching. Be very careful to avoid elongation
of the dimpled or the countersunk holes. The rivet head should be drilled to approximately
one-half the thickness of the top sheet.
Table 1. Approved Replacement Fasteners Chart
REPLACE
Inch thickness (or thicker)
WITH
MS20470AD3
0.025
NAS1398B4, NAS1398D4
0.020
NAS1738B4, NAS1738D4
MS20470AD4
0.050
NAS1398B4, NAS1398D5
0.040
NAS1398B5, NAS1398D5,
NAS9301B5, NAS1738B4,
NAS1738E4, NAS1738D4,
NAS9301B4
0.032
NAS1738B5, NAS1738E5,
NAS1738D5, NAS9301B5
MS20470AD5
0.063
NAS1398B5, NAS1398D5
0.050
NAS1398B6, NAS1398D6,
NAS1738B5, NAS1738E5,
CR3213-5
0.040
NAS1738B6, NAS1738E6,
NAS1738D5, CR3213-6
MS20470AD6
0.080
NAS1398B6, NAS1398D6
0.071
NAS1398D6
0.063
NAS1738B6, NAS1738E6,
NAS1738D, CR3213-6
MS20426AD3 (Countersunk)
(Refer to Note 1)
0.063
NAS1398B4, NAS1399D4
0.040
NAS1739D4
MS20426AD4 (Countersunk)
0.080
NAS1399B4, NAS1399D4,
CR3213-4
0.050
NAS1739D4
MS20426AD4 (Dimpled)
0.063
NAS1739B4, NAS1739E4
Table 1. Approved Replacement Fasteners Chart (continued)
REPLACE
Inch thickness (or thicker)
WITH
MS20426AD5 (Countersunk)
0.063
NAS1739D5, NAS1739B5,
NAS1739E5
0.050
CR3242-5
MS20426AD5 (Dimpled)
0.071
NAS1739B5, NAS1739E5
NOTE 1:
Rework Required. Countersink oversize to accommodate oversize rivet.
NOTE 2:
GENERAL NOTE: Do not use blind rivets in any portion of the engine air induction system structure.
Table 2. Approved Fastener Substitutions
Fastener
Collar
DIAMETER
Fastener
Collar
REPLACE
WITH
NAS178
NAS179
(Refer to Notes 1,
2, 6, 7)
HL18
HL70, HL82
(Refer to Notes 1,
4)
NAS1054
NAS179, NAS528
(Refer to Notes 1,
4)
NAS14XX
NAS1080C, NAS1080E,
NAS1080G, NAS1080AG
(Refer to Notes 1,
3, 4)
NAS529
NAS528, NAS179
(Refer to Notes 1,
2, 5)
NAS1146
NAS1080C, NAS1080E,
NAS1080G, NAS1080AG
(Refer to Notes 1,
5)
NAS7034
NAS1080K
(Refer to Notes 1,
6)
NAS464
MIL-S-7742
(Refer to Notes 1,
6)
NAS1103-
NAS1116
MIL-S-7742
(Refer to Notes 1,
6)
NAS1303-
NAS1316
MIL-S-7742
(Refer to Notes 1,
6)
NAS6203-
NAS6216
MIL-S-7742
(Refer to Notes 1,
6)
NAS6603-
NAS6616
MIL-S-7742
(Refer to Notes 1,
6)
AN173
AN305, MS20305,
MS21044, MS21045
NAS1054
NAS179,
NAS528
(Refer to Notes 1,
4)
NAS14XX
NAS1080C, NAS1080E,
NAS1080G, NAS1080AG
(Refer to Notes 1,
3, 4)
NAS529
NAS528, NAS179
(Refer to Notes 1,
2, 5)
NAS1446
NAS1080C, NAS1080E,
NAS1080G, NAS1080AG
Table 2. Approved Fastener Substitutions (continued)
Fastener
Collar
DIAMETER
Fastener
Collar
REPLACE
WITH
(Refer to Notes 1,
5)
NAS7034
NAS1080K
(Refer to Notes 1,
6)
NAS464
(Refer to Note 8)
(Refer to Notes 1,
6)
NAS1103-
NAS1106
(Refer to Note 8)
(Refer to Notes 1,
6)
NAS1303-
NAS1306
(Refer to Note 8)
(Refer to Notes 1,
6)
NAS6203-
NAS6206
(Refer to Note 8)
(Refer to Notes 1,
6)
NAS6603-
NAS6606
(Refer to Note 8)
NOTE 1:
Refer to appropriate tables for nominal diameters available.
NOTE 2:
Available in oversize for repair of elongated holes. Ream holes to provide a 0.001 inch interference
t.
NOTE 3:
NAS529-4 thru -12 take NAS528 same dash number. NAS529-14 thru -20 take NAS179.
NOTE 4:
Steel shank fastener designated for drive-on collars. Choose protruding head only.
NOTE 5:
Steel shank fastener designated for squeeze-on collars. Installation requires sufcient space for the
tool and extended shank of the fastener. Choose protruding head only.
NOTE 6:
Threaded fastener.
NOTE 7:
Preferred substitute fastener.
NOTE 8:
When you substitute a threaded fastener for a high strength steel shank rivet, use one of these steel
nuts: AN365/MS20365, MS17825, MS21044, MS21045, MS51943 or NAS1079. Approval of the
use of these nuts in this application does not constitute a general approval to use these nut on high
strength bolts.
NOTE 9:
GENERAL NOTE: These fastener substitutions address shear strength and hole tolerances only. The
specic application may not allow all of these substitutions because of space considerations.
B.
The United States Department of Defense no longer maintains MS and NAS standards. Identical
parts may have MS, NASM or AIA/NAS part numbers.
EXAMPLE:
MS20470AD4-6 rivets may also be identied as NASM20470AD4-6. NAS1738M4-4
rivets may be identied as AIA/NAS1738M4-4.
C.
Installation of Solid Shank Rivets.
(1)
A large percentage of riveting of airplane structure is accomplished on thin gauge aluminum alloy,
and the work must be accomplished without distorting or damaging the material with hammer
blows or riveting tools. All airplane power riveting is accomplished by upsetting the rivets against
a bucking bar instead of striking the shank with a hammer. To prevent deforming the rivet head,
a rivet set must be selected to t each type of rivet. The depth of this set must not touch material
being riveted. Parts requiring heat treatment should be heat treated before riveting, since heat
treating process after rivet installation causes warping. Assemblies that require heat treatment
in a salt bath must be treated prior to assembly, as the salt cannot be entirely washed out of the
joints.
(2)
The use of hollow rivets in joining highly stressed parts is not permitted. To determine if blind
rivets may be substituted, refer to Tables 1 and 2. Selection of the proper rivet and the proper
number of rivets is very important. Rivets must be of the proper length for the total thickness of
the parts being riveted. Ordinarily, from 1-1/2 to 2 times the diameter of the rivet is the correct
amount for the rivet shank to protrude through the material to form the head. For heavy material,
such as plates or ttings, from 2 to 2-1/2 times the rivet diameter may be used. The rivet should
not be excessively loose in the hole, as this condition will cause the rivet to bend over while
being driven, and the shank will not be sufciently expanded to completely ll the hole. A drill
from 0.002 inch to 0.004 inch larger than the rivet shank should be used for sheet and plate
riveting. Parts should be held rmly together by clamps, screws, or bolts while they are being
drilled or riveted. The bucking bar is to be held against the end of the rivet shank. Exercise care
while accomplishing this operation to prevent unseating the rivet by too much pressure. For the
rst few blows, the bucking bar should be held lightly against the rivet shank so it will receive
the impact of the blow through the rivet. The bucking bar must be held square with the rivet
to produce uniform upsets. As few blows as possible should be struck to properly upset rivet.
Blows must be as uniform as possible.
D.
Loose Or Working Solid Shank Rivets.
(1)
Rivets which appear to be loose shall be checked with a 0.002 inch feeler gauge by inserting the
gauge around the head of the rivet in question. If the feeler gauge can be inserted to the shank
of the rivet, it shall be classied as a loose rivet and it shall be replaced. If the feeler gauge can
be inserted approximately halfway to the shank for less than 30 percent of the circumference
of the rivet head, it shall not be classied as a loose rivet. The feeler gauge shall be used to
check the shear section between the riveted members (such as skin to spar or different sections
of skins) in a similar manner to that used around the rivet head. If the skin around the brazier
head or countersunk rivet can be moved by depressing the skin with nger pressure around the
rivet, the rivet shall be replaced. If a rivet is found which turns by applying a rotating load to the
head of the rivet, it should be replaced.
(2)
In areas where exterior paint has been applied to rivet heads, the paint may harden due to aging
processes and show hairline cracks around the edge of the rivet heads. This should not be
used as a basis for determining whether or not the rivet is loose. The hardened paint may crack
at times and collect dirt or exhaust fumes which will appear as discoloration. It is not possible
to detect loose rivets visually. Replacement rivets should be of like size and type. In some
instances, however, it will be necessary to use the next size larger diameter. For general repair
practices, the spacing between the centerlines of adjacent rivet holes shall be four diameters or
greater. In some areas where the spacing between rivets prohibits the use of the next larger
rivets, special repair instructions and procedures shall be followed.
Contact Cessna Single
Engine Support."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,FASTENERS,"8.
Blind Rivets
A.
General.
(1)
Blind rivets are intended for use where access is available to only one side of the work.
(2)
Replacement of solid rivets with blind rivets should only be accomplished within the guidelines
of Table 1, when the installation of a solid shank rivet is not possible. Blind rivets do not have the
same resistance to corrosion and fatigue as solid shank rivets, and should not be considered a
universal replacement for solid shank rivets.
B.
Removal of Blind Rivets.
CAUTION: Do not drill completely through the rivet sleeve. This method of removing
a rivet will tend to enlarge the hole.
(1)
Use a small center drill to provide a guide for a larger drill on top of the rivet stem, and drill away
the tapered portion of the stem to destroy the lock.
(2)
Pry the remainder of the locking collar out of the rivet head with a drift punch.
(3)
Drill nearly through the head of the rivet using a drill the same size as the rivet shank.
(4)
Break off rivet head, using drift pin inserted into the drilled hole as a pry.
(5)
Drive out remaining rivet shank with a pin having a diameter equal to the rivet shank.
C.
Installation of Blind Rivets.
(1)
Refer to Figure 2, for an illustration of installation procedures.
(2)
Check that rivet hole size and rivet are compatible.
(3)
Check that proper pulling head is installed on rivet gun.
(4)
Adjustment of pulling head must be made in accordance with manufacturers instructions.
(5)
Check that proper operating air pressure is available to rivet gun.
NOTE:
Blind rivets may be installed using pneumatic or mechanical guns, whichever is
available.
(6)
Check that holes in parts to be fastened are properly aligned.
(7)
In blind clearance applications, check the minimum blind clearance (BK) dimension if the
manufactured head of blind rivet is protruding above the top sheet. The rivet will pull down the
sheet as the stem is pulled if the BK dimension is met or exceeded.
(8)
The minimum blind clearance is the BK dimension, and is listed in the manufacturers standard
sheets.
NOTE:
When installing a blind rivet (pull-type rivet) in a hole where the previous blind rivet
was removed by drilling and punching the rivet out, inspect the drilled hole to assure
all metal sheets are in place and not separated prior to pulling rivet.
It may be
necessary to insert a stiff wire in adjacent hole to hold metal in position while pulling
rivet.
(9)
When placing pulling head on rivet stem, hold riveter and pulling head in line with axis of rivet
while holding tool in a light and exible manner.
(10) When tool is actuated, pulling head will pull down and seat against rivet head.
(11) Clamping action will pull sheets together and seat rivet when tool is actuated.
(12) When tool is actuated, action of rivet will automatically assist in bringing tool and pulling head
into proper alignment with rivet axis.
NOTE:
Pressing down with force will not allow rivet and tool to align themselves with hole
and could limit head setting of rivet, however, enough force to seat the head against
the skin is necessary.
(13) Hold tool in line with rivet as accurately as possible, and allow a steady but light pressure; pull
trigger and let the rivet align itself.
(14) When rivet is completely installed, release trigger and pulling head will eject pulling portion of
stem through forward end.
(15) Rivet must break within these limits.
Fastener
Dash number
Stem Flushness
NAS1738 or NAS1739
All
+0.010 or -0.020 inch
Cherry Max
-4
+0.010 or -0.015 inch
Cherry Max
-5, -6
+0.010 or -0.020 inch
(16) Protruding stems usually indicate incorrect grip length or oversize holes.
D.
Loose or Working Blind Rivets.
(1)
Blind rivets which are found to be loose or show evidence of working must be replaced with
rivets of like size and type. In some instances, it may be necessary to use the next larger size
rivet. Loose fasteners may be indicated by the following situation:
(a)
The fastened material moves relative to the fastener. Skin deection is evident.
(b)
Tipping of the fastener head may indicate its looseness or slippage. Rivet head periphery
rolled upward also indicates looseness.
(c)
A black or dark gray stain is found adjacent to or around the fastener head. Generally, it
takes the form of a dirt or oily streak aft of the loose rivet.
(d)
Mark a red line across the fastener head and the adjacent material. Check the line at the
next inspection. Any loosening of the fastener will break the line as indicated in Figure 3."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,FASTENERS,"9.
Spacing Of Rivets
A.
There are no specic rules which are applicable to every case or type of riveting. There are, however,
certain general rules which should be understood and followed. Edge distance of rivets should not
be less than two diameters of the rivet, measured from the edge of the sheet or plate to the center of
the rivet hole. Spacing between rivets, when in rows, depends upon several factors, principally the
thickness of the sheet, the diameter of the rivets, and the manner in which the sheet will be stressed.
This spacing is seldom less than four diameters of the rivet, measured between the centers of the rivet
holes. Rivets, spaced four diameters apart, are found in certain seams of semimonocoque fuselages,
webs or built up spars, and various plates or ttings. Where there are two rows of rivets, they are
usually staggered. The transverse pitch or distance between rows should be slightly less than the
pitch of the rivets, with 75 percent of the rivet pitch being the usual practice. An average spacing or
pitch of rivets in the cover or skin of most structures, except at highly stressed points, will be from 6
to 12 diameters of the rivet. The best practice in repair is to make pitch of rivets equal to those in the
original structure."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,FASTENERS,"10.
Threaded Fasteners Bolt Torques
A.
The importance of correct application cannot be overemphasized. Refer to appropriate Maintenance
Manual, Chapter 20, Torque Data - Maintenance Practices, for additional information covering torque
values. Under torque can result in unnecessary wear of nuts and bolts as well as parts they are
holding together. When insufcient pressures are applied, uneven loads will be transmitted throughout
assembly, which may result in excessive wear or premature failure due to fatigue. Over torque can
be equally damaging because of failure of a bolt or nut from overstressing threaded areas. There are
a few simple, but very important, procedures that should be followed to assure that correct torque is
applied:
(1)
Calibrate torque wrench periodically to assure accuracy, and recheck frequently.
(2)
Be sure that bolt and nut threads are clean and dry unless otherwise specied.
(3)
Run nut down to near contact with washer or bearing surface and check friction drag torque
required to turn nut.
(4)
Add friction drag torque to desired torque recommended. Refer to appropriate Maintenance
Manual, Chapter 20, Torque Data - Maintenance Practices to obtain complete torque calculating
procedures. This is referred to as nal torque which should register on indicator or setting for a
snap over-type wrench.
(5)
Apply a smooth even pull when applying torque pressure. If chattering or a jerking motion occurs
during nal torque, back off and re-torque.
(6)
When installing a castellated nut, start alignment with cotter pin hole at minimum recommended
torque plus friction drag torque, and do not exceed maximum torque plus friction drag. If hole
and nut castellation do not align, change washers or nut and try again. Exceeding maximum
recommended torque is not recommended unless specically allowed or recommended for that
particular installation."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,FASTENERS,"11.
Rivets for Plastic or Composite Parts
A.
Unlike rivets in metallic joints, blind rivets are often the rivet of choice for riveting non-metallic materials
because they may be installed without the hammering necessary to install solid rivets. If the tail end
of the rivet is adjacent to the non-metal side, install a washer over the shank to prevent the ""hole
lling"" action built into blind rivets from overloading the non-metal hole. The hole in the washer should
match the specied installation hole for the fastener. If the tail end of the rivet is installed through
metal substructure, the washer is not necessary.
B.
Soft (""A"" 1100 aluminum shank rivets or ""B"" 5056 aluminum shank) rivets are also used to install non-
metallic parts. Original equipment soft rivets will be either red or green colored under the paint. If the
butt or driven end of the rivet is adjacent to the non-metallic part, it is preferable to install a washer over
the shank to prevent the rivet shank, which swells during driving, from overloading the non-metallic
hole. The hole in the washer should match the specied installation hole for the fastener. If the tail
end of the rivet is installed through metal substructure, the washer is not necessary. Take care when
driving rivets through non-metal to not overdrive the rivet. If the rivet is overdriven, the shank will swell
even with the washer in place. The rivet butt should be driven to no more than necessary to retain
the part, never more than 1.4 times the shank diameter.
C.
If the original equipment rivet provided connection between metal parts as well as non-metallic parts,
it may be a standard (AD) rivet. Original equipment AD rivets are colored gold or uncolored. Replace
original equipment AD rivets with AD rivets.
"
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,FLIGHT CONTROL SURFACE BALANCING,FLIGHT CONTROL SURFACE BALANCING
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,FLIGHT CONTROL SURFACE BALANCING,"1.
General
A.
This section applies to the balancing of the ailerons, elevators, and rudder. Control surface balance
must be veried after repair or painting.
B.
Proper balance of control surfaces is critical to prevent utter during normal operating conditions."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,FLIGHT CONTROL SURFACE BALANCING,"2.
Tools and Equipment
NAME
NUMBER
MANUFACTURER
USE
Control Surface
Balance Fixture Kit
5180002–1
Cessna Aircraft Co. Cessna
Part Distribution
5800 E. Pawnee
P.O. Box 1521
Wichita, KS 67218
Balance elevator and
aileron.
Scale 0-10 Pounds
in 0.01 Pound
increments
Commercially Available
Balance rudder"
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,FLIGHT CONTROL SURFACE BALANCING,"3.
Procedures for Balancing Control Surfaces
A.
The ight control surface balancing xture kit (part number 5180002-1) is shown in Figure 1.
(1)
Balance of control surfaces must be accomplished in a draft free room or area.
(2)
Place hinge bolts through control surface hinges and position on knife edge balancing mandrels,
refer to Figure 2 for positioning of balancing control surfaces.
(3)
Make sure all control surfaces are in their approved ight conguration; painted (if applicable),
trim tabs installed, static wicks, and all tips installed.
(4)
Place balancing mandrels on a table or other suitable at surface.
(5)
Adjust trailing edge support to t control surface being balanced while center of balancing beam
is directly over hinge line. Remove balancing beam and balance the beam itself by adding
washers or nuts required at end opposite the trailing edge support.
(6)
When positioning balancing beam on control surface, avoid rivets to provide a smooth surface
for the beam and keep the beam 90 degrees to the hinge line of control surface.
(7)
Paint is a considerable weight factor.
In order to keep balance weight to a minimum, it
is recommended that existing paint be removed before adding paint to a control surface.
Increase in balance weight will also be limited by the amount of space available and clearance
with adjacent parts.
Good workmanship and standard repair practices should not result in
unreasonable balance weight.
(8)
The approximate amount of weight needed may be determined by taping loose weight at the
balance weight area.
(9)
Lighten balance weight by drilling off part of weight.
(10) Make balance weight heavier by fusing bar stock solder to weight after removal from control
surface. The ailerons should have balance weight increased by ordering additional weight and
gang channel, listed in applicable Parts Catalog, and installing next to existing inboard weight
the minimum length necessary for correct balance, except that a length which contains at least
two attaching screws must be used. If necessary, lighten new weight or existing weights for
correct balance."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,FLIGHT CONTROL SURFACE BALANCING,"4.
Balancing Denitions
A.
Overbalance (refer to Figure 3) is dened as the condition that exists when surface is leading edge
heavy and is dened by symbol (-). If the balance beam uses a sliding weight, the weight must be on
the trailing edge side of the hinge line (to balance the control surface), the control surface is considered
to be overbalanced.
Control Surface Overbalance (-)
Figure 3
B.
Underbalance (refer to Figure 4) is dened as the condition that exists when surface is trailing edge
heavy and is dened by symbol (+). If the balance beam uses a sliding weight, the weight must be
on the leading edge side of the hinge line (to balance the control surface), is considered to be under
balanced.
Control Surface Underbalance (+)
Figure 4"
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,FLIGHT CONTROL SURFACE BALANCING,"5.
Control Surface Balance Requirements
NOTE:
“Approved Flight” must never be exceeded when the surface is in its nal conguration for ight.
A.
Refer to Tables 1, 2 and 3 for balance limits of the various airplane control surfaces. These approved
ight limits must take into account all items which may be attached and/or applied to the various control
surfaces (static wicks, trim tabs, paint, decorative trim stripes, and so forth).
Table 1. Model 172 Static Balance Limits.
CONTROL SURFACE
STATIC BALANCE LIMITS APPROVED FOR FLIGHT
CONFIGURATION (INCH-LBS).
AILERON
0.0 TO +11.31
RUDDER
0.0 TO +9.0
LEFT ELEVATOR
0.0 TO +18.5
RIGHT ELEVATOR
0.0 TO +24.5
Table 2. Model 182 Static Balance Limits.
CONTROL SURFACE
STATIC BALANCE LIMITS APPROVED FOR FLIGHT
CONFIGURATION (INCH-LBS).
AILERON
0.0 TO +9.64
RUDDER
0.0 TO +6.0
LEFT ELEVATOR
0.0 TO +20.47
RIGHT ELEVATOR
0.0 TO +20.47
Table 3. Model 206 Static Balance Limits.
CONTROL SURFACE
STATIC BALANCE LIMITS APPROVED FOR FLIGHT
CONFIGURATION (INCH-LBS).
AILERON
0.0 TO +3.0
RUDDER (Landplane)
-4.0 TO +3.0
LEFT ELEVATOR
0.0 TO +12.1
RIGHT ELEVATOR
0.0 TO +12.1
"
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,REPAIRS - GENERAL,"REPAIRS - GENERAL
1.
Introduction
A.
Many components of the airframe structure are similar in design and fabrication. Examples of such
items are sheet metal webs, formed structural shapes and extrusions.
B.
Typical repairs to these and other items have been compiled in this section to eliminate the duplication
of repairs under each applicable component. Repairs in this section apply to the member shown,
regardless of location on the airplane structure (except as limited), and will include only those parts
or members necessary to show the typical situation.
2.
Usage
A.
Typical repairs may be accomplished individually, or combined with other repairs for a major repair.
Technique and material variation is permissible only so far as to facilitate fabrication and ensure the
original strength and usefulness of the affected component.
3.
Preparation for Repair
A.
The airplane should be located in an area where, once positioned, minimum movement or relocation
is required.
The airplane should be leveled and supported as necessary.
Refer to appropriate
Maintenance Manual, Chapter 7, Jacking - Maintenance Practices and Chapter 8, Leveling -
Maintenance Practices.
"
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,RIVETED ALUMINUM STRUCTURE REPAIR,"RIVETED ALUMINUM STRUCTURE REPAIR
1.
Preparing Riveted Aluminum Structure For Repair
A.
To prepare an area for repair, examine and classify the damage. Make a thorough check before
beginning repairs.
In some cases, a damaged part may be classied as needing replacement;
however, after removal, closer inspection indicates the part may be repaired.
(1)
Remove all ragged edges, dents, tears, cracks, punctures, and similar damages.
(2)
Stop-drill all cracks using a No. 30 (0.128 inch) drill.
(3)
Leave edges, after removal of damaged area, parallel to any square or rectangular edges of the
unit.
(4)
Round all corners
(5)
Smooth out abrasions and dents
(6)
Deburr all edges of repair and ensure that no nicks or scratches remain
(7)
Brush all aluminum parts having rough edges with a solution of Iridite or alodine mixed in a ratio
of one ounce of Iridite or alodine to one gallon of water, and rinse thoroughly.
(8)
To restore original paint and corrosion protectant properties to factory standards, refer to
appropriate Maintenance Manual, Chapter 20, Exterior Finish - Cleaning/Painting for renishing
procedures and required materials.
NOTE:
Damage adjacent to a previous repair requires removal of the old repair and inclusion
of the entire area in the new repair.
"
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,GLASS FABRIC REPAIR,GLASS FABRIC REPAIR
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,GLASS FABRIC REPAIR,"1.
General
A.
The following procedures are for parts which are constructed of epoxy prepreg glass fabric."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,GLASS FABRIC REPAIR,"2.
Tools and Materials
NOTE:
Equivalent substitutes may be used for the following:
NAME
NUMBER
MANUFACTURER
USE
Fiberglass
181 weight
Hexcel
Repair composite
structures.
Polyethylene sheet
Commercially available
Cover patches while
curing.
Adhesive
EA9394
Loctite Aerospace
Bay Point, CA 94565
Adhesive resin.
Adhesive
EA9396
Loctite Aerospace
Adhesive resin.
Adhesive
Epon 815
Loctite Aerospace
Adhesive resin.
Methyl Propyl Ketone
Commercially available
Cleaning solvent.
Sandpaper
Various grits
Commercially available
Abrading, smoothing.
Rubber sheet
Commercially available
Cover patches when
applying pressure."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,GLASS FABRIC REPAIR,"3.
Repair Of Glass Fabric Parts
A.
The procedures listed below are for repairing of glass fabric parts. Refer to Figure 801 for an illustration
of a typical glass fabric repair.
(1)
Cut and trim area immediately beyond damage. If parts were painted, remove paint and sand
clean an area at least 1-1/2 inches larger in diameter than the cut out section.
(2)
Prepare necessary size and number of patches of glass fabric style No. 181.
WARNING: Always follow manufacturer's mixing instructions carefully to
ensure proper cure and prevent a spontaneous re.
(3)
Mix sufcient amount of resin in accordance with manufacturers instructions.
(4)
Ensure that hands are free from oil, grease, and dirt, and apply an even coat of resin on sanded
area.
(5)
Impregnate all the glass fabric patches by laying them on a polyethylene sheet and working the
resin through the glass fabric with a small brush.
(6)
Place larger patch over cutout area, working out all air bubbles and wrinkles.
(7)
If cutout is large enough to cause the patch to sag, place a suitable support behind repair area.
(8)
Apply a second patch over the rst patch, working out all wrinkles and air bubbles.
(9)
After all patches have been applied, brush the area with an even coat of resin and allow to cure.
Curing time is 24 hours at 77°F.
(10) Smooth patched area with 600-grit sandpaper until desired nish is obtained.
(11) Repaint nished area with matching paint. Refer to the applicable Maintenance Manual, Chapter
20, Exterior Finish - Cleaning/Painting for painting procedures.
"
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,REPAIR OF THERMO-FORMED PLASTIC COMPONENTS,REPAIR OF THERMO-FORMED THERMO PLASTIC COMPONENTS
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,REPAIR OF THERMO-FORMED PLASTIC COMPONENTS,"1.
Thermo-formed Thermo Plastic Repair
A.
Repair of puncture or holes in thermo-formed plastics can be made by trimming out the damaged
area, removing any paint in the area, and installing an overlapping, beveled, or ush patch of identical
material. Doublers may be installed behind the patch where additional strength is desired. MPK,
or any commercially available solvent that will soften and dissolve the plastic, may be used as the
bonding agent. Dissolving some of the plastic shavings in the solvent will furnish additional working
time. Moderate pressure is recommended for best results. Curing time will vary with the agent used,
but repairs should not be strained until fully cured. Cracks can be repaired by saturating the crack itself
with the solvent, then lling with an epoxy ller or a paste made of the plastic shavings and the solvent.
Again, the crack may be reinforced with a doubler on the back side for additional strength. After
the repair has been made, the area may be sanded smooth and painted. Parts that are extensively
damaged should be replaced instead of repaired."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,REPAIR OF THERMO-FORMED PLASTIC COMPONENTS,"2.
Temporary Repairs
A.
Crack Repair
(1)
It is permissible to stop drill crack(s) that originate at the edge of a fairing if the crack is less than
2 inches (50 mm) in length.
(a)
Stop drill the crack with a Number 30 (0.128 inch diameter) drill bit.
(b)
A crack may be stop drilled only once.
NOTE:
A crack that passes through a fastener hole and does not extend to the edge of
the part, may be stop drilled at both ends of the crack.
(c)
Any fairing that has a crack that progresses past a stop drilled hole must be repaired or
replaced.
(d)
A fairing that has any of the following conditions must have a repair made as soon as
practical:
1
A crack that is longer than 2 inches (50 mm).
2
Cracks in more than 10 percent of the attach fastener locations per fairing.
(2)
Fairings, with a stop drilled crack that does not extend past the stop drilled hole, may remain in
service until the next 100 hour or equivalent inspection.
"
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,TYPICAL SKIN REPAIRS,TYPICAL SKIN REPAIRS
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,TYPICAL SKIN REPAIRS,"1.
General
A.
Damage which would involve a typical skin repair can be described as damage that requires
modication, such as material replacement or patching. Skin damage in the form of dents, scratches,
or punctures requires a patch. Refer to Figure 801, for an illustration of typical skin repairs. Refer to
Figure 802 for corrugated skin repairs."
